,MSE,PE,MCC,Accuracy,Sensitivity,Specificity,F1_score,Precision,Time,Opt Lambda,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.4599768483433733,0.0028867661600297852,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,1.0094680000000835,0.026062452728288978,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4581726950452454,0.003395344145659652,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.0871600000000399,0.05410693362267678,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4587101219035777,0.0040339234227569605,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,1.0157899999999245,0.007797944147893989,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.46267665248486994,0.0037596289688508256,0.408248290463863,0.7,0.6,0.8,0.6666666666666666,0.75,1.0334269999999606,0.0031770126358139773,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,0.4691919846388795,0.00849791529130783,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.0580939999999828,0.05839112660879348,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5048105075031704,0.012220442328611268,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.1029670000000351,0.02070670499751048,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4572619749823696,0.003828875079471843,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,1.0507979999999861,0.01506988035266798,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4676463112976943,0.007451409124165323,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9753620000000183,0.026452182360564822,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4817824821283917,0.007655267795554779,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9670399999999972,0.027463240043906153,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.45634972630962245,0.00426952143736772,0.4364357804719848,0.7,0.5,0.9,0.625,0.8333333333333334,1.02995999999996,0.013777397404907117,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
