,MSE,PE,MCC,Accuracy,Sensitivity,Specificity,F1_score,Precision,Time,Opt Lambda,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,111.64787580057173,0.03500306475457336,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.811669,0.2540966477440487,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,127.3034319824296,0.3451301221297827,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,1.1324539999999998,0.5441643997329976,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,115.3016797050823,0.12004748745964648,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.9274450000000001,0.5327051068320684,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,116.88620882798578,0.11928629904985259,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.9582250000000005,0.6232767425012783,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,117.11816175852375,0.18138202394781094,0.7035264706814485,0.85,0.8,0.9,0.8421052631578947,0.8888888888888888,0.8406460000000004,0.3385820756673972,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,123.46358077120833,0.17748174319237592,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.8667410000000002,0.40794719484494135,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,115.05437794094483,0.11457003822629279,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.9355699999999993,0.5492822321673497,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,114.87125988818939,0.11567953806407882,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.9125949999999996,0.22050278618640146,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,120.96653335042936,0.16042949772820228,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,0.9529329999999998,0.30227880317355926,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,112.49741362126022,0.07573381436019022,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,0.8024419999999992,0.5189637405961663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,113.18284570564637,0.09649728348841502,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.9732079999999996,0.39919239580351085,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,114.4792194843614,0.06457290164351735,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.7991869999999999,0.5114641147890039,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,122.4665488195615,0.242673439055862,0.420084025208403,0.65,0.3,1.0,0.46153846153846156,1.0,1.001313999999999,0.7334928646422465,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,118.23811503050693,0.20022230347789194,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,0.7518609999999999,0.05118408639890354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,108.12153205446724,0.054876221443918884,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,0.8868809999999989,0.4125257785761316,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,118.17517599833151,0.18272692564335719,0.8,0.9,0.9,0.9,0.9,0.9,0.9495680000000011,0.1319700346385091,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,118.50788490962428,0.1706006790632737,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9256689999999992,0.2704646745152575,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,113.66132304657023,0.14335947812760683,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,0.8826479999999997,0.7802493446145164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,114.90273948678215,0.10974492714057271,0.420084025208403,0.65,0.3,1.0,0.46153846153846156,1.0,0.7454329999999985,0.5282365217114572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,112.0554459101613,0.061076903029435296,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9682749999999984,0.41505176237091435,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,126.24596933721195,0.23715058545550147,0.5241424183609591,0.75,0.6,0.9,0.7058823529411765,0.8571428571428571,1.0515930000000004,0.7459994587381498,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,109.61976734690923,0.07705678002381172,0.8,0.9,0.9,0.9,0.9,0.9,0.8070759999999986,0.24725724156409784,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,120.25902709772657,0.1745700006442838,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.8524770000000004,0.5653574975557429,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,116.39549195940978,0.15000251170923998,0.9045340337332909,0.95,0.9,1.0,0.9473684210526315,1.0,0.9028889999999983,0.2134785530404288,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,121.827015053961,0.2595976989956437,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.9507909999999988,0.7922819986559598,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,118.36796449211381,0.11892589927529464,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.8135820000000002,0.4973711209238366,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,109.74065481427252,0.10897065314223811,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.8848650000000013,0.6674398202341588,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,119.42573716234648,0.15265966257712285,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.9566169999999978,0.6867068348837754,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,116.42127404646232,0.13837617495621696,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,0.9403240000000004,0.5315890315283169,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,117.47316225828132,0.17937085405230202,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.8381079999999983,0.5214592963565005,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,116.63745236878586,0.12703955609570453,0.816496580927726,0.9,0.8,1.0,0.8888888888888888,1.0,0.8538779999999981,0.1682104469346211,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,137.53711993445293,0.5076684264099037,0.11547005383792516,0.55,0.8,0.3,0.64,0.5333333333333333,0.906639000000002,0.13166670235196068,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
32,114.56219981508346,0.1277105354055806,0.5,0.7,0.4,1.0,0.5714285714285714,1.0,0.7877270000000003,0.5483378116895965,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,117.12022575057485,0.12025159458305497,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,1.000191000000001,0.3841046741489859,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,115.49266514443056,0.08622052389668347,0.7035264706814485,0.85,0.8,0.9,0.8421052631578947,0.8888888888888888,0.8101180000000028,0.5299395028168934,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,118.24964253186616,0.14071847260640247,0.6546536707079772,0.8,0.6,1.0,0.75,1.0,0.8117870000000025,0.2754531733740726,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,120.42837508325381,0.21958423722794412,0.3333333333333333,0.6,0.2,1.0,0.3333333333333333,1.0,1.0575649999999968,0.8345345965805964,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,110.82721273221458,0.0768332026949871,0.7337993857053428,0.85,0.7,1.0,0.8235294117647058,1.0,0.7953299999999999,0.29519682086257254,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,119.55456758634034,0.2101070567331212,0.5773502691896257,0.75,0.5,1.0,0.6666666666666666,1.0,1.0249379999999988,0.6008397739602633,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
